algorithm,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,2,1024,20

size,avg_time,avg_comps,avg_swaps
2,2.5,1,0
4,5.6,6,2
8,15.5,28,13
16,34.0,120,59
32,142.75,496,257
64,547.85,2016,960
128,2355.45,8128,4106
256,8966.8,32640,16321
512,37782.9,130816,65208
1024,150341.75,523776,260087


Algorithm,MIN_SIZE,MAX_SIZE,TRIALS
Selection Sort,2,1024,20

SIZE,avg_time,avg_comps,avg_swaps
2,2.15,2,0
4,3.6,9,4
8,8.15,35,13
16,38.95,135,39
32,92.15,527,97
64,297.95,2079,237
128,1168.4,8255,565
256,4516.0,32895,1315
512,18867.35,131327,2971
1024,75057.8,524799,6702


Algorithm,MIN_SIZE,MAX_SIZE,TRIALS
Insertion Sort,2,1024,20

SIZE,avg_time,avg_comps,avg_swaps
2,2.6,1,0
4,4.0,6,2
8,10.3,28,14
16,37.45,120,58
32,153.35,496,247
64,553.6,2016,1013
128,2292.3,8128,4020
256,8082.35,32640,16218
512,43458.0,130816,65883
1024,146871.05,523776,260620
