algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS,,algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS,,algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS,,,,,,,,
bubble_sort,random,2,1024,20,,bubble_sort,almost-sorted,2,1024,20,,bubble_sort,reverse-sorted,2,1024,20,,,,,,,,
SIZE,,avg_time,avg_comps,avg_swaps,,SIZE,,avg_time,avg_comps,avg_swaps,,SIZE,,avg_time,avg_comps,avg_swaps,,,,,,,,
2,,1.95,1,0,,2,,1.8,1,1,,2,,1.75,1,1,,SIZE,bubble,selection,insertion,merge,quick,shell
4,,3.65,6,3,,4,,3.2,6,2,,4,,3.85,6,6,,2,1.95,2.3,2.65,2.65,2.15,1.75
8,,10.4,28,15,,8,,12.9,28,5,,8,,11.65,28,28,,4,3.65,3.6,5.8,5.5,4.85,2.95
16,,34.15,120,57,,16,,34.75,120,10,,16,,45.55,120,120,,8,10.4,8.4,14.9,14.15,8.35,5.95
32,,131.05,496,246,,32,,81.15,496,37,,32,,232.3,496,496,,16,34.15,24.35,20.7,33.45,17.25,13.8
64,,526.7,2016,1031,,64,,351.1,2016,169,,64,,728.4,2016,2016,,32,131.05,82.55,59.85,78.55,41.2,33.9
128,,2233.25,8128,4112,,128,,1408.15,8128,593,,128,,2970.4,8128,8128,,64,526.7,284,233.45,184.5,94.55,84.35
256,,8277.35,32640,16125,,256,,5344.1,32640,2014,,256,,12972.85,32640,32640,,128,2233.25,1087.85,871.5,430.05,231.65,206.85
512,,36783.15,130816,65016,,512,,21253.95,130816,8448,,512,,48459.05,130816,130816,,256,8277.35,4280.3,3493.25,981.2,545.35,514
1024,,146202.1,523776,261920,,1024,,93537.75,523776,33861,,1024,,197412.8,523776,523776,,512,36783.15,18262.25,15277.5,2183.75,1243.15,1336.4
,,,,,,,,,,,,,,,,,,1024,146202.1,68012.9,65698.9,4961.05,2894.4,3375.1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS,,Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS,,Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS,,SIZE,bubble,selection,insertion,merge,quick,shell
selection_sort,random,2,1024,20,,selection_sort,almost-sorted,2,1024,20,,selection_sort,reverse-sorted,2,1024,20,,2,1.8,1.6,1.5,2.45,1.95,1.9
SIZE,,avg_time,avg_comps,avg_swaps,,SIZE,,avg_time,avg_comps,avg_swaps,,SIZE,,avg_time,avg_comps,avg_swaps,,4,3.2,3.1,2.2,5.9,4.65,2.95
2,,2.3,2,1,,2,,1.6,2,2,,2,,1.85,2,2,,8,12.9,6.5,3.75,12.95,11.65,5.05
4,,3.6,9,4,,4,,3.1,9,2,,4,,3.25,9,6,,16,34.75,18.15,7.05,29,35.55,10.8
8,,8.4,35,13,,8,,6.5,35,2,,8,,7.8,35,20,,32,81.15,65.35,17.1,68.1,106.45,25.2
16,,24.35,135,39,,16,,18.15,135,2,,16,,23,135,72,,64,351.1,249.15,46.1,157.05,288.25,72.05
32,,82.55,527,100,,32,,65.35,527,5,,32,,82.3,527,272,,128,1408.15,971.25,139.7,378.7,886.9,156.6
64,,284,2079,241,,64,,249.15,2079,12,,64,,324.3,2079,1056,,256,5344.1,3847.75,507.95,839.8,1988.05,393.05
128,,1087.85,8255,570,,128,,971.25,8255,21,,128,,1271.75,8255,4160,,512,21253.95,16501.2,2045.95,1918.8,3739.5,1023.3
256,,4280.3,32895,1318,,256,,3847.75,32895,39,,256,,5033.75,32895,16512,,1024,93537.75,66962.85,8260.7,4254.7,10299.05,2550.4
512,,18262.25,131327,2953,,512,,16501.2,131327,80,,512,,21967.65,131327,65792,,,,,,,,
1024,,68012.9,524799,6677,,1024,,66962.85,524799,159,,1024,,87778.4,524799,262656,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS,,Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS,,Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS,,SIZE,bubble,selection,insertion,merge,quick,shell
insertion_sort,random,2,1024,20,,insertion_sort,almost-sorted,2,1024,20,,insertion_sort,reverse-sorted,2,1024,20,,2,1.75,1.85,1.5,2.3,1.8,1.4
,,,,,,,,,,,,,,,,,,4,3.85,3.25,2.55,5.35,4.45,3.2
SIZE,,avg_time,avg_comps,avg_swaps,,SIZE,,avg_time,avg_comps,avg_swaps,,SIZE,,avg_time,avg_comps,avg_swaps,,8,11.65,7.8,7.65,12.3,11.3,6.75
2,,2.65,0,1,,2,,1.5,1,1,,2,,1.5,1,1,,16,45.55,23,27.55,27.8,32.65,12.65
4,,5.8,3,3,,4,,2.2,2,3,,4,,2.55,6,3,,32,232.3,82.3,111.35,61.6,109.85,28.5
8,,14.9,14,7,,8,,3.75,5,7,,8,,7.65,28,7,,64,728.4,324.3,441.35,134.85,522.4,69.25
16,,20.7,58,15,,16,,7.05,12,15,,16,,27.55,120,15,,128,2970.4,1271.75,1847.15,301.25,1760.75,172.15
32,,59.85,245,31,,32,,17.1,44,31,,32,,111.35,496,31,,256,12972.85,5033.75,7042.1,664.4,7309.25,426.05
64,,233.45,1021,63,,64,,46.1,155,63,,64,,441.35,2016,63,,512,48459.05,21967.65,29856.15,1440.4,26574.5,972.7
128,,871.5,4014,127,,128,,139.7,544,127,,128,,1847.15,8128,127,,1024,197412.8,87778.4,126896.65,3130.55,117274.25,2375.8
256,,3493.25,16347,255,,256,,507.95,2020,255,,256,,7042.1,32640,255,,,,,,,,
512,,15277.5,65863,511,,512,,2045.95,8047,511,,512,,29856.15,130816,511,,,,,,,,
1024,,65698.9,260515,1023,,1024,,8260.7,31692,1023,,1024,,126896.65,523776,1023,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS,,Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS,,Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS,,,,,,,,
merge,random,2,1024,20,,merge,almost-sorted,2,1024,20,,merge,reverse-sorted,2,1024,20,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SIZE,,avg_time,avg_comps,avg_swaps,,SIZE,,avg_time,avg_comps,avg_swaps,,SIZE,,avg_time,avg_comps,avg_swaps,,,,,,,,
2,,2.65,1,1,,2,,2.45,1,1,,2,,2.3,1,1,,,,,,,,
4,,5.5,4,4,,4,,5.9,4,4,,4,,5.35,4,4,,,,,,,,
8,,14.15,16,16,,8,,12.95,13,13,,8,,12.3,12,12,,,,,,,,
16,,33.45,45,45,,16,,29,36,36,,16,,27.8,32,32,,,,,,,,
32,,78.55,123,123,,32,,68.1,97,97,,32,,61.6,80,80,,,,,,,,
64,,184.5,306,306,,64,,157.05,247,247,,64,,134.85,192,192,,,,,,,,
128,,430.05,736,736,,128,,378.7,613,613,,128,,301.25,448,448,,,,,,,,
256,,981.2,1726,1726,,256,,839.8,1447,1447,,256,,664.4,1024,1024,,,,,,,,
512,,2183.75,3961,3961,,512,,1918.8,3393,3393,,512,,1440.4,2304,2304,,,,,,,,
1024,,4961.05,8944,8944,,1024,,4254.7,7780,7780,,1024,,3130.55,5120,5120,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS,,Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS,,Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS,,,,,,,,
quick_sort,random,2,1024,20,,quick_sort,almost-sorted,2,1024,20,,quick_sort,reverse-sorted,2,1024,20,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SIZE,,avg_time,avg_comps,avg_swaps,,SIZE,,avg_time,avg_comps,avg_swaps,,SIZE,,avg_time,avg_comps,avg_swaps,,,,,,,,
2,,2.15,1,1,,2,,1.95,1,1,,2,,1.8,1,1,,,,,,,,
