algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,2.25,1,0
4,,3.75,6,3
8,,10.45,28,15
16,,33.8,120,61
32,,131.5,496,243
64,,541.15,2016,1022
128,,2351.95,8128,3957
256,,8566.45,32640,16164
512,,38790.25,130816,65335
1024,,139461.15,523776,259674
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,1.85,1,1
4,,3.35,6,1
8,,7.75,28,6
16,,25.4,120,10
32,,79.5,496,37
64,,310.15,2016,162
128,,1256.3,8128,535
256,,4783.3,32640,2001
512,,20454.85,130816,8332
1024,,91158.4,523776,34281
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,1.9,1,1
4,,4.05,6,6
8,,12.0,28,28
16,,54.85,120,120
32,,186.65,496,496
64,,782.4,2016,2016
128,,3113.3,8128,8128
256,,11866.65,32640,32640
512,,54862.25,130816,130816
1024,,223192.95,523776,523776
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,1.85,2,0
4,,3.25,9,3
8,,7.35,35,12
16,,21.45,135,38
32,,74.95,527,98
64,,281.35,2079,236
128,,1097.0,8255,562
256,,5165.15,32895,1320
512,,18340.4,131327,2981
1024,,80267.55,524799,6625
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,2.05,2,2
4,,3.1,9,2
8,,6.65,35,2
16,,18.9,135,2
32,,90.0,527,5
64,,292.4,2079,12
128,,1105.9,8255,20
256,,4468.45,32895,40
512,,17404.25,131327,79
1024,,70829.2,524799,158
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,2.0,2,2
4,,4.1,9,6
8,,8.1,35,20
16,,23.6,135,72
32,,94.9,527,272
64,,381.85,2079,1056
128,,1572.35,8255,4160
256,,5462.1,32895,16512
512,,22544.0,131327,65792
1024,,100845.25,524799,262656
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,1.4,0,1
4,,2.2,3,3
8,,5.4,13,7
16,,17.25,64,15
32,,55.65,245,31
64,,234.35,996,63
128,,910.2,4136,127
256,,4100.7,16290,255
512,,19387.15,65645,511
1024,,111295.45,263547,1023
