Five,Dfive,Ten,TenD,Twenty,TwentyD,Fifty,FiftyD,Hundred,HundredD
68,26,40,83,10,23,90,76,80,9
3,3,57,65,77,24,94,86,84,99
100,36,79,3,34,62,26,39,6,9
88,26,7,29,35,4,82,51,23,67
97,28,66,65,2,66,52,72,2,46
,,49,14,93,11,87,4,31,44
,,12,49,80,96,49,34,77,72
,,17,42,17,91,75,45,7,1
,,44,70,94,18,96,26,92,67
,,69,65,18,75,4,27,66,35
,,,,97,4,81,80,86,45
,,,,49,90,65,33,25,39
,,,,31,23,41,80,27,27
,,,,3,2,12,95,61,70
,,,,74,26,33,65,8,97
,,,,11,39,25,45,14,30
,,,,26,96,42,69,82,1
,,,,56,43,79,90,47,56
,,,,16,64,95,54,4,89
,,,,48,20,85,80,33,48
,,,,,,39,65,24,5
,,,,,,31,90,35,8
,,,,,,48,33,40,16
,,,,,,22,36,53,96
,,,,,,91,22,39,42
,,,,,,44,16,56,47
,,,,,,59,97,97,56
,,,,,,29,46,78,44
,,,,,,92,77,96,64
,,,,,,45,11,83,19
,,,,,,3,50,85,33
,,,,,,76,66,60,44
,,,,,,57,93,38,43
,,,,,,30,69,52,29
,,,,,,15,58,20,12
,,,,,,14,23,5,94
,,,,,,16,89,22,59
,,,,,,83,66,1,93
,,,,,,13,24,43,15
,,,,,,2,85,91,86
,,,,,,47,99,93,35
,,,,,,78,62,19,62
,,,,,,73,9,44,6
,,,,,,61,33,94,52
,,,,,,64,48,12,73
,,,,,,60,4,73,45
,,,,,,77,58,67,72
,,,,,,72,93,18,39
,,,,,,56,90,50,71
,,,,,,40,54,45,73
,,,,,,,,89,71
,,,,,,,,69,8
,,,,,,,,3,67
,,,,,,,,32,81
,,,,,,,,49,9
,,,,,,,,75,61
,,,,,,,,90,84
,,,,,,,,55,11
,,,,,,,,65,40
,,,,,,,,42,45
,,,,,,,,72,81
,,,,,,,,58,92
,,,,,,,,21,76
,,,,,,,,10,89
,,,,,,,,71,69
,,,,,,,,57,15
,,,,,,,,28,15
,,,,,,,,70,40
,,,,,,,,64,51
,,,,,,,,41,23
,,,,,,,,17,73
,,,,,,,,11,51
,,,,,,,,59,63
,,,,,,,,87,33
,,,,,,,,98,28
,,,,,,,,74,62
,,,,,,,,30,38
,,,,,,,,16,50
,,,,,,,,46,25
,,,,,,,,36,97
,,,,,,,,9,74
,,,,,,,,76,9
,,,,,,,,95,43
,,,,,,,,51,75
,,,,,,,,48,14
,,,,,,,,34,85
,,,,,,,,100,89
,,,,,,,,15,33
,,,,,,,,54,61
,,,,,,,,79,99
,,,,,,,,26,25
,,,,,,,,62,92
,,,,,,,,29,50
,,,,,,,,99,12
,,,,,,,,81,44
,,,,,,,,88,78
,,,,,,,,63,40
,,,,,,,,37,46
,,,,,,,,68,84
,,,,,,,,13,3
